ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,-0.048368413,-0.026387079,0.11781725,-0.0069602006,-0.108390935,0.19457147,-0.08514293,0.06298447,-0.0722593,0.12517433,-0.10461506,-0.1258082,0.040723577,-0.06727523,-0.27415657,-0.06834289,-0.1101004,0.36721498,-0.06485529,0.14333253,0.07130879,-0.1428215,-0.23787682,-0.16539012,0.14323466,-0.15416993,-0.010966811,-0.04832714,-0.10611984,0.052065514,0.011682292,-0.06388667,-0.09095938,0.021382865,-0.012458586,-0.058470353,0.17414016,-0.095634714,-0.14702238,-0.057921745,-0.18024507,-0.105394796,-0.043036617,0.0222233,0.07560694,0.13376985,0.024765765,-0.20127451,-0.19300504,-0.2972793,0.14157847,0.116836675,0.0005603685,-0.02512287,-0.32654092,0.034323413,0.08849884,-0.07327626,0.027075384,0.05913803,-0.045290455,0.1197827,-0.057255484,0.20405437
2,-0.032518577,-0.017992316,0.1250311,-0.034407917,-0.07836973,0.16474047,-0.10473869,0.1129451,-0.07913432,0.11382261,-0.123121284,-0.121256106,0.03907703,-0.04772632,-0.24590954,-0.041725677,-0.11599243,0.3806896,-0.017418051,0.1326119,0.0751568,-0.14396045,-0.24059327,-0.16290061,0.10785941,-0.2125986,0.0051306775,-0.038993407,-0.14499635,0.083759956,0.0068564806,-0.057485048,-0.09028166,0.02602766,0.0014152768,-0.07763121,0.14016557,-0.123450615,-0.10511358,-0.03014444,-0.14433952,-0.081208736,-0.013594826,0.014817515,0.06418931,0.11396007,0.039468944,-0.2354696,-0.24537234,-0.30590248,0.08475007,0.16179392,-0.007836327,-0.0295415,-0.3284251,0.040134426,0.07079471,-0.014787223,0.02877603,0.10599994,-0.066253625,0.10555966,-0.030989654,0.23524845
3,-0.06869935,-0.025216466,0.10205811,0.01472634,-0.08537485,0.19647616,-0.09679901,0.09013166,-0.07571806,0.14075136,-0.11263929,-0.110940374,0.045459375,-0.07468366,-0.21105984,-0.03446489,-0.12928861,0.3630991,-0.04572708,0.12418153,0.07017899,-0.13441655,-0.22642364,-0.18682887,0.12360276,-0.1955975,0.005969111,-0.0517197,-0.122571394,0.049488124,0.03187535,-0.02687776,-0.09493727,0.02504321,0.032140605,-0.079916686,0.1916168,-0.13090742,-0.1475484,-0.04441209,-0.19054043,-0.07746991,-0.009189459,-0.00056913204,0.08786248,0.14025308,0.060521416,-0.20896631,-0.2047583,-0.2925168,0.14064799,0.11563076,0.019996574,-0.019197788,-0.3452535,0.008188658,0.062314667,-0.08719702,0.06240966,0.08407113,-0.025309702,0.11241359,-0.04132696,0.18975879
5,-0.021007787,-0.0010578802,0.0978498,-0.007359002,-0.099884,0.21444531,-0.12671961,0.107287034,-0.07405244,0.16820355,-0.10632684,-0.13589783,-0.0058975527,-0.04816914,-0.2147947,-0.059422273,-0.13600123,0.38171265,-0.052662537,0.11457613,0.08099349,-0.16884239,-0.21154751,-0.17904164,0.0925943,-0.17313355,0.0008636061,-0.03529095,-0.122697845,0.050886452,0.014877612,-0.057258207,-0.10631908,0.028728055,0.041653745,-0.09091369,0.14310868,-0.11995278,-0.14893094,-0.027198065,-0.16131496,-0.10300996,-0.01803524,-0.043288287,0.09381061,0.11492757,0.027314575,-0.23717481,-0.24557722,-0.29876575,0.10347817,0.16993825,-0.017914338,-0.042126805,-0.35132414,0.02701817,0.09227559,-0.07198646,0.016481325,0.07063842,-0.06764522,0.09276387,-0.027701035,0.17852724
7,-0.046915065,-0.019274034,0.14336206,0.0017397181,-0.089796476,0.18496448,-0.07271509,0.0848451,-0.09274665,0.121043526,-0.13622548,-0.08803294,0.042515006,-0.05589391,-0.26029235,-0.073335044,-0.12506835,0.3753638,-0.037107795,0.14435317,0.082730345,-0.15457965,-0.23889564,-0.17659807,0.098925345,-0.17879644,0.0137787415,-0.043165185,-0.11508836,0.044824835,0.00842128,-0.04502582,-0.061043415,0.02196956,-0.016815176,-0.0753001,0.1642224,-0.13042708,-0.14910261,-0.039116617,-0.14114325,-0.11060243,-0.04343364,0.035288896,0.08375344,0.11090723,0.026319344,-0.20340355,-0.21120538,-0.30744046,0.11041211,0.1403664,-0.007217197,-0.04928414,-0.33156773,0.011747813,0.0786188,-0.0545332,0.064119264,0.057894528,-0.02745703,0.1109029,-0.069568716,0.20444237
9,-0.032608658,-0.0064280117,0.08764617,0.0063982825,-0.09580446,0.2057367,-0.07140661,0.110894956,-0.10425509,0.1576486,-0.12494854,-0.12557629,0.011604974,-0.047882196,-0.23421293,-0.037736725,-0.094758905,0.36341712,-0.040762275,0.13554065,0.08847898,-0.10064385,-0.24148537,-0.16113898,0.11211742,-0.19009872,0.029571729,-0.05669328,-0.11489787,0.0396864,0.015732028,-0.05991646,-0.061088923,0.024394264,0.0068288203,-0.07867364,0.18178228,-0.13027117,-0.12906793,-0.046583857,-0.20413744,-0.092320375,-0.03483263,-0.023915352,0.1146645,0.11970698,0.040953703,-0.22802839,-0.21178225,-0.2973765,0.15044208,0.12786338,-0.027878098,-0.038230624,-0.3649665,0.0061661485,0.07609099,-0.07237674,0.028556688,0.044597555,-0.02876115,0.11113203,-0.06401735,0.17408067
10,-0.06144261,-0.03387861,0.098669946,-0.0029906498,-0.12645312,0.17687659,-0.12668279,0.11089604,-0.06886177,0.1526586,-0.1106328,-0.08151117,0.025522158,-0.05809071,-0.25247455,-0.050602574,-0.10815773,0.38829565,-0.04211079,0.12543833,0.054659333,-0.12427315,-0.23860343,-0.20674059,0.11768427,-0.1765455,0.01376145,-0.012091147,-0.108776495,0.07844681,-0.022570299,-0.060319602,-0.09434898,0.025458159,-0.019179171,-0.07967876,0.15261224,-0.10126304,-0.10711534,-0.055229906,-0.16615805,-0.11111489,0.010062106,0.0062800013,0.068608865,0.10561281,0.023617392,-0.23093528,-0.23659532,-0.28718185,0.10841322,0.118912764,0.007152397,-0.030498857,-0.35641858,0.0107389605,0.050036214,-0.013660608,0.03352192,0.08834622,-0.05077354,0.09482669,-0.028486043,0.21476881
11,-0.009870476,-0.002725938,0.12343323,-0.0085262945,-0.094851784,0.21859713,-0.09536891,0.09356745,-0.090518355,0.13112852,-0.115557745,-0.11187678,0.037328005,-0.050950978,-0.24903098,-0.038502347,-0.09744559,0.36763778,-0.05034232,0.10565115,0.057163544,-0.12502447,-0.23546758,-0.15166672,0.12363512,-0.15346931,0.036520585,-0.028091397,-0.10135228,0.056467067,0.020870436,-0.04983699,-0.069128565,0.028876625,-0.004061555,-0.09700272,0.18334036,-0.13941243,-0.16669482,-0.011914493,-0.17959541,-0.11742657,-0.041887447,0.0004134552,0.09430819,0.10986508,0.050130237,-0.21878795,-0.21604656,-0.3049217,0.12257953,0.12335867,0.014437453,-0.035712205,-0.32849908,0.023516351,0.07282494,-0.036654886,0.025559604,0.043198697,-0.04266289,0.13403857,-0.05896073,0.22477105
13,-0.040756695,-0.031872544,0.11719163,-0.018246766,-0.09885292,0.16070792,-0.09820291,0.08481193,-0.075144656,0.1293758,-0.13285676,-0.10216382,0.04476216,-0.07232813,-0.24640356,-0.04082207,-0.114823096,0.38331035,-0.05889021,0.12604922,0.079518475,-0.14390951,-0.2308949,-0.17613894,0.10023766,-0.19926536,0.008602988,-0.020007927,-0.12591654,0.094536126,-0.013074052,-0.05400813,-0.10617831,0.03740232,0.023425527,-0.061933495,0.14777637,-0.13146527,-0.11206169,-0.023770325,-0.14313851,-0.096393056,0.0062443856,0.050440297,0.07347823,0.11625279,0.03166601,-0.23664758,-0.21387123,-0.28157577,0.10037318,0.121301055,0.010846319,-0.041423038,-0.3499034,0.0337076,0.060889225,-0.039231095,0.040493693,0.09504658,-0.056694064,0.12472894,-0.027959783,0.2192999
14,-0.06303097,0.0058412687,0.11821009,0.008941363,-0.10041933,0.2074009,-0.10996699,0.11873205,-0.07156998,0.13206512,-0.12826148,-0.07684698,0.02084287,-0.05004797,-0.2305953,-0.046913955,-0.11792175,0.36524242,-0.041081183,0.12149163,0.059290145,-0.13540512,-0.24084514,-0.1646808,0.14089403,-0.1714099,0.021927176,-0.038706616,-0.08994386,0.054611627,0.025347224,-0.039932717,-0.0980364,0.03784079,0.019601373,-0.056234643,0.1572139,-0.111084014,-0.16053091,-0.008568875,-0.1597768,-0.06809035,-0.04241576,0.04243934,0.0454584,0.13301705,0.06231324,-0.21766914,-0.22761306,-0.30263427,0.10189472,0.12372806,0.00478649,-0.058808062,-0.33746338,0.0057258727,0.1137062,-0.054787897,0.0060982434,0.06668174,-0.07020677,0.13674733,-0.029771766,0.22416754
