feature,importance_mean,importance_std
emb_39,0.03255555555555554,0.07612822192091119
emb_58,0.026944444444444427,0.07365816106418911
emb_23,0.025555555555555547,0.01771255396325539
emb_31,0.024722222222222215,0.028546042513978652
emb_26,0.02244444444444443,0.01754306869562048
emb_18,0.020999999999999994,0.039600084174994714
emb_43,0.020499999999999984,0.021679056286690184
emb_44,0.01955555555555555,0.01657995964194107
emb_42,0.017111111111111098,0.033558774680025064
emb_5,0.016499999999999994,0.041867147319722624
emb_12,0.016111111111111097,0.018758537151104888
emb_8,0.013055555555555542,0.013509256086106291
emb_49,0.012222222222222207,0.021848948331896358
emb_6,0.012055555555555536,0.015565076451411086
emb_60,0.011277777777777763,0.035781228267015894
emb_20,0.010611111111111102,0.017650936393164975
emb_21,0.010499999999999985,0.028949402433117135
emb_61,0.009777777777777769,0.014933391203591575
emb_34,0.009722222222222215,0.017169273444653507
emb_33,0.009166666666666651,0.026274312667943178
emb_25,0.008944444444444432,0.012921176034845142
emb_30,0.008222222222222205,0.016266112619586957
emb_24,0.008055555555555545,0.02077436097871783
emb_9,0.007999999999999988,0.017586997160851613
emb_47,0.007666666666666653,0.03668080535486485
emb_15,0.0074444444444444315,0.027513969515839003
emb_17,0.007333333333333319,0.006913486551393308
emb_1,0.0071111111111111,0.014448290086365
emb_19,0.006888888888888877,0.02904307146291522
emb_56,0.006277777777777764,0.044423119884210216
emb_52,0.006055555555555537,0.013659663969259517
emb_35,0.0057222222222222145,0.021238359193557484
emb_53,0.005222222222222217,0.027747427864334023
emb_2,0.005166666666666658,0.010071656845074608
emb_22,0.0037777777777777714,0.014967660612050605
emb_59,0.002999999999999984,0.037714162123681845
emb_57,0.002444444444444434,0.02732599269090164
emb_41,-0.00038888888888889624,0.020759944813076338
emb_37,-0.0003888888888888971,0.0274022392524659
emb_28,-0.0006111111111111234,0.03240532268426908
emb_51,-0.001888888888888897,0.022442244116568526
emb_27,-0.002055555555555563,0.014493080511611375
emb_7,-0.003166666666666678,0.02380579865038592
emb_0,-0.004000000000000012,0.03042172712850935
emb_16,-0.0048333333333333405,0.014926362460301448
emb_4,-0.005833333333333342,0.02095188491476319
emb_62,-0.008000000000000007,0.02263737213732971
emb_10,-0.008388888888888902,0.032739337157781066
emb_11,-0.010388888888888902,0.05293269660966057
emb_38,-0.010888888888888903,0.029588953561075895
emb_36,-0.011944444444444447,0.027309384268705186
emb_3,-0.012000000000000014,0.03449789759205053
emb_32,-0.012611111111111123,0.05127527982359195
emb_13,-0.012777777777777787,0.033654471571993576
emb_45,-0.014777777777777787,0.0338106565128091
emb_29,-0.016944444444444456,0.025721082288155634
emb_63,-0.017055555555555574,0.022476050353791556
emb_14,-0.017111111111111122,0.04520379094776659
emb_50,-0.021888888888888892,0.03177729214858146
emb_40,-0.02622222222222223,0.04488620729063965
emb_54,-0.031277777777777786,0.041831378145249586
emb_48,-0.033111111111111126,0.07403836176162787
emb_55,-0.033222222222222236,0.0761582579036153
emb_46,-0.03711111111111112,0.05443724442187457
