ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,0.12820704,-0.109846674,0.068938985,-0.043454863,0.018622775,-0.0025664326,-0.30865344,-0.21596238,0.046478402,0.046918992,-0.2591753,-0.10183806,-0.048624575,-0.24671657,-0.34557274,-0.077946,-0.05992187,0.46196827,-0.2633829,0.18889482,0.10526817,0.11221087,-0.47695956,-0.32277262,-0.06853554,-0.35151464,-0.06690261,-0.088119805,-0.12876374,0.43163106,-0.24500294,-0.041131705,-0.052806612,-0.014489606,-0.23744188,-0.053003274,0.48103526,-0.28727314,-0.04002559,0.130029,0.20780092,-0.002716481,0.07742383,0.15702958,-0.0069849477,0.2519843,0.114414155,-0.13317533,0.22684613,-0.31908348,0.16428602,0.001387311,-0.03937205,-0.1903217,-0.09564872,0.3206195,0.22814791,-0.011685292,-0.1134556,0.22001125,-0.10463271,0.303,0.19414462,0.4279845
2,0.1732006,-0.068054765,0.27008316,-0.06802423,0.046630424,-0.08221252,-0.14885555,0.14472178,-0.15896544,0.098084405,-0.23993531,-0.07150055,-0.10687229,-0.27933335,-0.25756913,-0.31306207,-0.1054676,0.3462549,0.07145088,-0.03163809,0.10117952,-0.1966638,-0.20970422,-0.2121885,0.056263626,-0.10691314,0.0344792,-0.28268343,-0.006516272,0.29062924,-0.20679659,-0.01986201,0.10052456,-0.10019399,0.020209007,0.1895553,0.20785615,-0.123173244,0.32472163,0.0069955387,0.08363062,-0.08878125,0.056582604,0.1901972,0.17849447,0.1538342,0.19172528,-0.16730285,0.07668033,-0.13052875,0.04556793,0.21560241,0.0619573,-0.22470608,-0.42122474,0.049854975,0.2622934,-0.065237895,-0.10930081,-0.021027362,-0.020731902,0.1208972,0.015534263,0.1851976
3,0.20302959,0.09612368,0.35342208,-0.09414095,-0.19422583,0.025455555,0.063560486,-0.002579991,-0.14741792,-0.04917585,-0.103380196,-0.044319764,-0.12048038,-0.11997136,-0.12351206,-0.09627795,0.007483183,0.35757035,0.111767836,0.22759068,0.047806628,-0.23436046,-0.14201319,-0.2007802,0.1529764,-0.080643624,0.07651969,-0.12816963,0.011137629,-0.020295553,-0.10610739,0.0042808023,0.056514066,-0.048856188,0.17568225,0.27572066,0.11062823,0.06699028,0.4634234,-0.023092635,-0.009027139,-0.35520986,0.021653624,0.015488567,0.016509162,0.2611573,0.04325032,-0.07860801,0.21680608,-0.002900375,0.06706369,0.22441928,0.09028522,-0.2627374,-0.47621244,-0.37679127,0.45091426,-0.13809943,0.009883412,-0.23497628,0.16050027,0.020152131,-0.28867984,0.17590162
5,0.11265642,-0.05608845,0.53837055,-0.17086758,0.03668069,-0.14693823,0.014312231,0.19283113,-0.2237865,0.053657796,-0.23912469,-0.11485221,-0.1755348,-0.1501116,-0.27482337,-0.36669874,-0.15425622,0.4263112,0.17555775,-0.11649449,0.12703826,-0.29455972,-0.04218992,-0.14884709,0.11097922,-0.08062939,0.12173655,-0.26185653,0.012177333,0.20811945,-0.14881802,0.023654772,0.1691287,-0.1604124,0.060331535,0.2585363,0.12415048,0.13415174,0.47071886,-0.11816362,-0.054538418,-0.14848712,-0.030067574,0.24266915,0.15994127,0.14527936,0.24013081,-0.14427978,-0.017768657,-0.06397608,0.10469361,0.24474014,0.11895451,-0.31231123,-0.43076858,-0.15266871,0.2219246,-0.22946823,-0.09983489,-0.06682526,-0.035638697,0.044446755,-0.07172844,0.16145389
7,0.14611082,-0.07206027,0.015918147,-0.0023620187,0.014438066,0.03223335,-0.30066735,-0.2184672,0.052810807,0.06759713,-0.26295048,-0.055468213,-0.030435145,-0.27583987,-0.33463746,-0.07447029,-0.05680964,0.46673906,-0.27587837,0.21330921,0.09551203,0.10728414,-0.4937238,-0.3659814,-0.07326785,-0.3423302,-0.10291926,-0.09089041,-0.12819757,0.38982514,-0.22839136,-0.041330833,-0.061909966,-0.00014395104,-0.2065693,-0.034988694,0.49307525,-0.32687616,-0.030452872,0.15606394,0.23216127,-0.015127495,0.1303268,0.09710056,-0.0027422386,0.26566446,0.089118116,-0.15037347,0.24705076,-0.3278342,0.12822095,0.0051230597,-0.03692396,-0.1892154,-0.1763231,0.32772303,0.27011824,0.019998388,-0.105936736,0.18004966,-0.077925384,0.3058881,0.15722248,0.41106406
9,0.18522882,-0.030897163,0.015712949,-0.013263893,-0.09083624,0.073130324,-0.23279105,-0.2676574,0.067595094,0.010006458,-0.20712379,-0.07396483,0.025564738,-0.21874772,-0.2396453,0.046496857,-0.042336646,0.43290365,-0.24585372,0.32053742,0.103131324,0.10169212,-0.4924628,-0.38871258,-0.0023712504,-0.33423203,-0.07290827,-0.02462324,-0.10976603,0.2727031,-0.19976497,-0.064323135,-0.052652486,0.030768067,-0.14449462,-0.022511138,0.45336282,-0.26489207,-0.010940081,0.13910724,0.22698013,-0.13190688,0.1294028,0.028686408,-0.07292804,0.27738273,0.009033454,-0.117796615,0.3231428,-0.2782736,0.11137682,0.007981292,-0.04207588,-0.2342126,-0.17935655,0.18042393,0.355291,0.01646,-0.08679646,0.10078849,-0.016772566,0.27596346,0.06096181,0.38065505
10,0.17295817,-0.008634949,0.008266143,0.00984219,0.018913038,0.038100965,-0.2686062,-0.0491014,-0.038034268,0.15805869,-0.23130612,0.042898968,0.0020530175,-0.31907147,-0.21817325,-0.113873824,-0.066965446,0.38040623,-0.1758205,0.2186724,0.10749135,0.01872744,-0.40432528,-0.30950645,-0.08021633,-0.22477342,-0.055742607,-0.16558515,-0.10281259,0.34990403,-0.18313955,-0.051319834,-0.011871215,-0.007475368,-0.08198608,0.083308384,0.34944308,-0.3354547,0.15179858,0.09961006,0.23891391,-0.058967087,0.15819152,0.08589991,0.08546771,0.21893837,0.09420264,-0.15347317,0.20599057,-0.25227523,0.03864718,0.10049796,0.022935059,-0.22207381,-0.33677742,0.21524647,0.37249342,0.013069906,-0.096181095,0.06929517,0.023618517,0.22500156,0.08381664,0.32823426
11,0.18645486,0.04204681,0.3895211,-0.04128491,-0.04641308,-0.031384695,-0.1692074,0.21394943,-0.238891,0.24392635,-0.20487611,-0.03426184,-0.11196116,-0.2110573,-0.26075035,-0.31121498,-0.002446962,0.2881907,0.115284495,0.006656177,0.11351085,-0.35054278,-0.018379448,-0.21768004,0.018977942,-0.02294682,0.016533012,-0.30210283,-0.0703738,0.27127954,-0.10755445,0.029445676,0.07469835,-0.030637965,0.14792329,0.29397705,0.12900285,-0.048139416,0.5218695,-0.041058656,0.031230839,-0.12105488,-0.011143283,0.2082973,0.27996626,0.112389095,0.1464107,-0.18285929,0.064351074,-0.014092014,0.10021417,0.35541898,0.094705425,-0.2586333,-0.55473447,-0.24283272,0.44784972,-0.13100304,-0.052148674,-0.097139075,0.10198777,0.071835026,-0.10225554,0.1965594
13,0.20165202,0.11828895,0.35241523,-0.11444045,-0.25872242,0.09012189,0.102130614,-0.026478501,-0.13132302,-0.054701712,-0.11259899,-0.0025077173,-0.10698546,-0.07878088,-0.08594536,-0.06379525,0.025236502,0.37678012,0.15064424,0.37114748,-0.008387679,-0.23172282,-0.11798196,-0.2879223,0.15452813,-0.045401733,0.079349816,-0.13360763,0.008994355,-0.05614127,-0.07662758,-0.01312511,0.050111458,-0.04367367,0.16848412,0.32173163,0.06167431,0.0703428,0.53001827,-0.040127583,0.022546701,-0.49174255,0.00794551,-0.033137105,0.03714346,0.2560297,-0.056653988,-0.09291572,0.30724946,0.02130024,0.031106407,0.23979501,0.09554575,-0.247698,-0.6011907,-0.45399547,0.60856664,-0.13791609,-0.026794095,-0.29939437,0.26333132,-0.01543665,-0.3957329,0.17648467
14,0.051368143,-0.15892982,0.6549051,-0.17525768,-0.022904485,-0.16223176,0.028785275,0.074965164,-0.08283495,-0.12515646,-0.2440863,-0.26184696,-0.2180824,0.005137662,-0.34003067,-0.3146617,-0.1758222,0.49342436,0.22185996,-0.20518929,0.16473484,-0.21741082,-0.014604736,-0.061705444,0.20897265,-0.12394333,0.18730842,-0.17066436,0.031058917,0.15607858,-0.14811008,0.07538058,0.13189691,-0.13889651,-0.07974075,0.14554171,0.1621734,0.339282,0.32986927,-0.16147898,-0.15967408,-0.14736806,-0.14182797,0.24896812,-0.03117346,0.15275653,0.26322114,-0.13938275,-0.042631086,-0.08130818,0.22759482,0.13382365,0.11609909,-0.2952637,-0.20748223,-0.17482097,0.093727574,-0.27882794,-0.083551794,-0.02545635,-0.10974187,0.11303816,0.0034581316,0.23472282
