ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,0.012049759,-0.12832035,0.12451248,0.053582817,0.031764086,0.11020541,-0.108383104,0.104434304,-0.12254858,0.23362945,-0.16816454,-0.06543683,0.009918864,-0.0126530565,-0.124374904,-0.04891089,-0.1438287,0.36098084,-0.041163642,-0.019088091,0.063116014,-0.07832523,-0.20723948,-0.070599854,0.09954885,-0.21859047,-0.077715956,-0.037978254,-0.23187295,-0.02780344,0.056305904,-0.029435048,-0.15360932,-0.016176436,0.0969346,-0.17421412,0.16024745,-0.060581982,-0.13221194,0.06781223,-0.17870818,-0.07395923,-0.10766126,0.04889834,0.015585999,0.18902911,-0.03509491,-0.20382187,-0.23849188,-0.25681928,0.13411711,0.07831135,-0.1643606,0.029201435,-0.18401657,0.06887563,0.021994704,-0.16033404,-0.051525205,-0.037727527,-0.20009011,0.111983076,0.091248006,0.25018153
2,0.03621053,-0.10798182,0.15121096,0.00027281413,0.01381269,0.107060894,-0.12061417,0.11285671,-0.105738334,0.19037136,-0.171872,-0.07241008,-0.0033731959,-0.00012542769,-0.11296443,-0.04077605,-0.18044393,0.36838743,-0.032941874,0.0098480955,0.04582086,-0.07626077,-0.19975919,-0.08227979,0.10311835,-0.22557074,-0.07284584,-0.04822665,-0.22454752,-0.008526447,0.08343973,-0.036062866,-0.13640732,-0.04108521,0.08330423,-0.14954689,0.18950237,-0.04396289,-0.102929085,0.0924506,-0.16339235,-0.056626305,-0.11017293,0.07505874,0.01791719,0.20109388,-0.033270013,-0.22994567,-0.24305815,-0.2343241,0.12883635,0.07627715,-0.16506131,0.01781114,-0.14940475,0.07690263,0.0033025993,-0.13411047,-0.032961015,-0.020365342,-0.20373349,0.107267715,0.10394649,0.27669266
3,0.027347703,-0.11708349,0.15584776,0.045006987,-0.01800864,0.15491283,-0.121722296,0.08998995,-0.12435395,0.21627918,-0.14430153,-0.11415976,0.0027946534,-0.0046591708,-0.09385043,-0.03980536,-0.18567587,0.3446627,-0.048048068,-0.0059471526,0.056614798,-0.09076155,-0.18608558,-0.083027,0.12081305,-0.20200646,-0.030362543,-0.033944085,-0.22523731,0.0024348814,0.07853924,-0.02273489,-0.1663113,-0.018983265,0.10797015,-0.14536913,0.18102549,-0.050867442,-0.14711982,0.050478518,-0.15887848,-0.05596567,-0.14010733,0.058722865,0.03793962,0.21800104,-0.021652516,-0.24169306,-0.25694984,-0.21366112,0.11916111,0.056168567,-0.18119931,-0.007885904,-0.1712093,0.077101715,-0.010653005,-0.15364137,-0.038964152,-0.032907158,-0.20105416,0.109896675,0.11464237,0.23600726
5,0.01992206,-0.12641256,0.1707634,0.02024051,-0.0074177445,0.08651652,-0.13534765,0.09106354,-0.09962415,0.1822559,-0.15532467,-0.0857412,-0.021580296,-0.042401217,-0.09354346,-0.028946644,-0.15916407,0.39781013,-0.037877515,0.040049374,0.037243836,-0.06504342,-0.21092421,-0.11099739,0.10721938,-0.19821839,-0.06575999,-0.016977664,-0.24867247,0.00083912705,0.079859026,-0.05184228,-0.16028433,-0.042747676,0.085528515,-0.12665465,0.20340984,-0.038883295,-0.111363724,0.07225118,-0.13134605,-0.0678339,-0.08797523,0.07976214,0.026257077,0.20147222,-0.014248057,-0.2423923,-0.24615058,-0.19665678,0.118226,0.042361896,-0.16299587,-0.015080156,-0.17813906,0.04139912,0.017640881,-0.15469433,-0.069420576,-0.020552503,-0.16282523,0.087597795,0.09959376,0.24686864
7,0.0058693755,-0.08636329,0.1608688,0.024021504,0.014604503,0.11424832,-0.10808978,0.07614614,-0.13623835,0.20621295,-0.15110774,-0.08903991,-0.0065525607,-0.0016291477,-0.108995415,-0.031836756,-0.16671443,0.36942765,-0.051524486,0.01358248,0.052639656,-0.07529115,-0.2181826,-0.07662899,0.12963901,-0.20067303,-0.05385699,-0.027918583,-0.23102807,-0.026971849,0.070896104,-0.063581035,-0.14761789,-0.04419817,0.13285333,-0.1489351,0.18761753,-0.02478456,-0.10808565,0.050423224,-0.16685398,-0.061393127,-0.10678026,0.05814063,0.035786986,0.19552606,0.0004898357,-0.24001308,-0.24495138,-0.2295943,0.14469296,0.031181244,-0.14509785,-0.017099665,-0.18384752,0.05266708,0.015793035,-0.15637718,-0.04967976,-0.060167965,-0.19401142,0.11462159,0.08746258,0.22879684
8,0.013390182,-0.1286426,0.17965366,0.028211959,0.016020322,0.11245259,-0.10209178,0.055881646,-0.10859694,0.21880928,-0.17668389,-0.1124406,0.013321056,-0.0089628855,-0.09650095,-0.06991481,-0.17226942,0.34022585,-0.05765809,0.016891457,0.05997522,-0.06347203,-0.19157985,-0.11369978,0.09293334,-0.24372038,-0.045071043,-0.014765316,-0.22258484,-0.012128284,0.04973939,-0.040798437,-0.15224464,-0.0056195264,0.11147207,-0.14974003,0.2001,-0.03770422,-0.12441846,0.03833249,-0.1410961,-0.05439127,-0.12843488,0.102761015,0.018248102,0.17855772,-0.013341934,-0.2062955,-0.21596546,-0.23372255,0.13932773,0.088636324,-0.16883866,0.027764656,-0.18183321,0.086828806,0.01164761,-0.17596605,-0.036475368,-0.02670192,-0.1815241,0.08371832,0.12724097,0.25329816
9,0.018858649,-0.13314535,0.17786247,0.01949908,-0.01843584,0.1089576,-0.1265445,0.08351883,-0.121030115,0.1969399,-0.15580674,-0.061748847,-0.0134315705,-0.024157917,-0.11862543,-0.048457164,-0.19135927,0.38758177,-0.069407254,0.02894946,0.0644931,-0.0838417,-0.23194338,-0.09117108,0.11054914,-0.17450935,-0.044015482,-0.053040612,-0.20946544,-0.0054647033,0.035879895,-0.048556685,-0.1767539,-0.05328712,0.12770447,-0.12720484,0.22048803,-0.033290204,-0.10510703,0.08126581,-0.155747,-0.055761676,-0.077078156,0.070259675,-0.005059004,0.16132548,-0.01719906,-0.24095885,-0.24011481,-0.18581413,0.12199156,0.04749709,-0.18889204,0.014249342,-0.16490644,0.037594516,0.012862912,-0.14270425,-0.054259516,-0.048341963,-0.18050522,0.070966855,0.10749022,0.25105396
11,0.014185388,-0.11965593,0.14009894,0.024092332,0.01891365,0.11840327,-0.1316129,0.09589841,-0.08587957,0.20609556,-0.17664123,-0.088985585,-0.0017960042,-0.0383849,-0.07807611,-0.033672802,-0.19015041,0.35058302,-0.05078311,-0.010204735,0.050162327,-0.07607741,-0.21171495,-0.104976945,0.097024776,-0.22389781,-0.06027954,-0.03379189,-0.23873766,-0.020156248,0.08999794,-0.042544138,-0.15797311,-0.03733197,0.10315479,-0.16598034,0.1989565,-0.050485395,-0.13296244,0.054411456,-0.16910338,-0.029709738,-0.077909335,0.082325675,0.04238214,0.20600785,-0.010052647,-0.203494,-0.22827236,-0.25118384,0.13432913,0.06212132,-0.15157685,0.029037097,-0.17677774,0.058974028,0.00723435,-0.15850751,-0.015339706,-0.018113445,-0.17361842,0.10424266,0.103341214,0.26265237
13,0.02298675,-0.102635525,0.120035104,0.05165585,0.01684027,0.08945406,-0.08743402,0.1151476,-0.106235065,0.22187331,-0.17685592,-0.07186919,-0.006012889,-0.040629245,-0.102030806,-0.05981681,-0.15133628,0.37134567,-0.039602432,0.02120013,0.06389915,-0.069246076,-0.1879486,-0.077914685,0.102742344,-0.23955633,-0.07115504,-0.045350004,-0.19434454,0.0063630636,0.05605182,-0.037877865,-0.1449441,-0.05473347,0.12505628,-0.1364701,0.15588586,-0.060005177,-0.049355667,0.07153911,-0.1322599,-0.083871976,-0.101245455,0.07207809,0.027549783,0.19361609,0.0017304895,-0.23697302,-0.2211774,-0.21207562,0.15270013,0.0794677,-0.16293593,-0.008984912,-0.21453059,0.05532004,0.043337103,-0.14824408,-0.068851896,-0.013584294,-0.20613235,0.12528591,0.1044552,0.27244318
15,0.029641224,-0.11127261,0.14763921,0.04494174,0.023719916,0.10377941,-0.110728964,0.083443254,-0.1134681,0.23066154,-0.14808823,-0.094233856,-0.023910183,-0.051861487,-0.10929824,-0.07561857,-0.19243908,0.35702026,-0.040539797,-0.014049629,0.07238633,-0.09256992,-0.19413531,-0.09800945,0.10846627,-0.21344374,-0.057254445,-0.02690115,-0.21491052,-0.012339468,0.09139748,-0.024218708,-0.1669033,-0.051284395,0.11383235,-0.15874584,0.19616744,-0.053471357,-0.114474654,0.054497417,-0.12738511,-0.07373403,-0.098031364,0.09127862,0.003201333,0.19726016,-0.027985375,-0.21262956,-0.24925624,-0.24977212,0.14725934,0.06418245,-0.13438028,0.0066480306,-0.19760251,0.042295203,-0.00565436,-0.13684237,-0.054484118,-0.021941595,-0.19547272,0.08386163,0.086041085,0.23966236
