ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,0.0035247211,-0.034064516,0.108778074,-0.030033316,-0.031771995,0.1731207,-0.100063905,0.10247028,-0.21500844,0.16940945,-0.23911168,-0.092138104,0.042176556,-0.07686154,-0.21190313,-0.08401539,-0.16402176,0.33921617,-0.025847917,-0.010600034,0.0911472,-0.1396043,-0.14303999,-0.03651473,0.089015864,-0.13203129,0.06383175,-0.038240742,-0.11867303,0.11676129,0.053611442,-0.06761621,-0.061903846,-0.02648177,0.061316207,-0.011731764,0.13414264,-0.107078195,-0.027125973,0.0329382,-0.16684242,-0.11553789,-0.05234878,0.07799528,0.05975947,0.09240772,0.057290792,-0.25447872,-0.20856898,-0.22405592,0.14170238,0.16620177,-0.08739882,-0.13168782,-0.34573472,-0.054016575,0.13185702,-0.10438302,-0.038080666,-0.15433747,-0.112928845,0.15302186,0.049329244,0.20120634
2,0.004330225,-0.04238737,0.11483614,-0.04785453,-0.017605735,0.22195746,-0.12660648,0.087424606,-0.19517139,0.20244057,-0.2642727,-0.0915076,0.038012646,-0.0410568,-0.18419895,-0.072172746,-0.147291,0.34990522,-0.014170265,-0.050318107,0.12588961,-0.12725355,-0.17418936,-0.025355157,0.06675584,-0.1639685,0.07742813,-0.03820789,-0.11191901,0.107382156,0.033484925,-0.055658456,-0.054696515,-0.007988979,0.07845592,-0.0417467,0.14570478,-0.14371563,-0.007585037,0.009845612,-0.1581927,-0.10089976,-0.10656665,0.036093418,0.04949791,0.10214251,0.058734026,-0.26142356,-0.24687052,-0.2379229,0.15317515,0.15655383,-0.06460471,-0.07937713,-0.30920398,-0.04189892,0.0798251,-0.122469425,-0.03972423,-0.13950041,-0.103503704,0.14864808,0.054830264,0.17659916
3,-0.001828835,-0.035425473,0.10548218,-0.036152996,-0.05622105,0.20885116,-0.13307378,0.08706986,-0.21002464,0.12944813,-0.24378636,-0.065546766,0.029817171,-0.10656061,-0.22058618,-0.041439243,-0.14037952,0.36472583,-0.010747335,-0.049654078,0.09929384,-0.15682437,-0.1716435,-0.018961873,0.06925626,-0.1364799,0.03416785,-0.03919581,-0.12727046,0.14182515,0.008715116,-0.040834054,-0.033622514,-0.016654814,0.06772249,-0.007321836,0.14429204,-0.1329973,-0.0119608175,0.036196508,-0.1603381,-0.10044615,-0.05075315,0.07784084,0.085716926,0.0757813,0.073574476,-0.2602941,-0.20137897,-0.24193762,0.15328111,0.12841657,-0.048521627,-0.10301036,-0.29893628,-0.08700601,0.11139937,-0.09212762,-0.018837128,-0.15725498,-0.11390808,0.16734727,0.04452917,0.15409996
5,0.031121481,-0.05484565,0.14446865,-0.04695834,-0.021880036,0.17806192,-0.12262487,0.06838875,-0.22655988,0.15549456,-0.23189767,-0.046348095,-0.030791642,-0.053927623,-0.22248375,-0.04765519,-0.1620773,0.35582122,-0.031145558,-0.016868053,0.11395551,-0.13487709,-0.18317619,-0.046793845,0.07062482,-0.17029786,0.039174836,-0.026470339,-0.12036683,0.087930426,0.06621529,-0.02913819,-0.06111891,-0.017808868,0.075625256,-0.0072843237,0.18446425,-0.11815636,-0.008386969,0.067891955,-0.12841049,-0.10582657,-0.08799277,0.07575637,0.05246209,0.099135645,0.039310575,-0.25515044,-0.20963888,-0.23831193,0.17479435,0.14285888,-0.05899599,-0.105379395,-0.30010128,-0.04190641,0.13854973,-0.10734704,-0.03583933,-0.14500561,-0.10072227,0.14647159,0.008214268,0.18436278
7,0.0011447269,-0.03479638,0.09575988,-0.03820644,-0.031631675,0.19954517,-0.116529934,0.10168295,-0.21072726,0.144212,-0.2693739,-0.07511761,-0.0052323504,-0.08261074,-0.19097456,-0.07124616,-0.14148203,0.34879518,-0.03498023,-0.0067824647,0.06534979,-0.1268673,-0.14492673,-0.020790791,0.038545743,-0.16260524,0.06863504,-0.025823433,-0.102650374,0.1061516,0.04057595,-0.054024782,-0.043674834,-0.016376209,0.076731384,-0.027086077,0.14669852,-0.15551569,0.0072407187,0.05250839,-0.17818992,-0.11775773,-0.065868266,0.04904416,0.063410126,0.09083722,0.06096509,-0.25833344,-0.18150525,-0.21917188,0.15338804,0.16735476,-0.08385967,-0.112336636,-0.33011848,-0.05168468,0.11379727,-0.12480548,-0.029404165,-0.17497863,-0.10946073,0.15818937,0.023778763,0.1852366
8,-0.003433009,-0.030359188,0.13013335,-0.019723857,-0.033105485,0.18037297,-0.12278613,0.100320384,-0.20375896,0.18010266,-0.26894763,-0.087678164,0.028355857,-0.047029458,-0.2131415,-0.06246984,-0.1683762,0.3435324,-0.017984344,-0.03985268,0.10844633,-0.16618527,-0.15677775,-0.03986781,0.059645023,-0.16335306,0.06108029,-0.0420184,-0.10779387,0.10651159,0.031898394,-0.040749386,-0.041946575,-0.013964004,0.04265142,-0.018204775,0.12724373,-0.1213723,-0.031253994,0.010847052,-0.14853944,-0.14195378,-0.077459686,0.08218786,0.04076848,0.07007297,0.051172353,-0.23572329,-0.20309535,-0.23330256,0.16434929,0.13537377,-0.07844116,-0.112295315,-0.34288198,-0.08736948,0.096900396,-0.11513759,-0.035233747,-0.145968,-0.07285242,0.14699033,-0.00074910437,0.19018784
9,-0.022226622,-0.01834673,0.10473656,-0.028414104,-0.037820604,0.16357467,-0.1234362,0.11307852,-0.19018243,0.19260769,-0.2359005,-0.057643674,0.028251963,-0.0647432,-0.22809006,-0.0554993,-0.11571441,0.36174726,-0.03160238,-0.06809552,0.10885783,-0.1627805,-0.17833363,-0.021745518,0.0970353,-0.14379078,0.08537667,-0.040645048,-0.11912572,0.10874287,0.032812543,-0.03962278,-0.05273725,-0.0442752,0.07885059,-0.019682243,0.12656137,-0.1355535,0.0200271,0.024740197,-0.16469467,-0.10493538,-0.07370101,0.03711368,0.037668034,0.09802439,0.08502629,-0.24021627,-0.22518967,-0.20440355,0.16852021,0.13537218,-0.08506987,-0.07899203,-0.33750948,-0.062058497,0.107290156,-0.11112579,-0.0661759,-0.14878766,-0.116934344,0.15570988,0.037643626,0.19706282
11,-0.008369559,-0.03353642,0.083613314,-0.02495377,-0.009876673,0.20479691,-0.12095482,0.09385904,-0.18467455,0.18915455,-0.23951292,-0.06555837,0.04313298,-0.058445796,-0.19637254,-0.021419382,-0.16296321,0.3679426,-0.028305352,-0.058628324,0.10120736,-0.14876258,-0.17021573,-0.029933626,0.08685327,-0.16346395,0.064859845,-0.034547742,-0.112960234,0.11864992,0.045392983,-0.02579282,-0.055910703,-0.018782802,0.08436375,-0.012940527,0.15552735,-0.13536127,0.0034496307,0.017478691,-0.18203776,-0.091165595,-0.05264137,0.036561918,0.057010982,0.093640424,0.07747988,-0.24005485,-0.22614244,-0.24420789,0.16189805,0.1155003,-0.05105763,-0.08040934,-0.34895205,-0.08352145,0.085608535,-0.12033145,-0.029928243,-0.09786617,-0.082622774,0.16515873,0.02629795,0.17879443
13,-0.008031002,-0.029091854,0.11753782,-0.022301314,-0.028482605,0.16886394,-0.12169888,0.07961876,-0.21733356,0.15381733,-0.22666065,-0.085090704,0.033854652,-0.063805535,-0.22643031,-0.051330186,-0.13494694,0.36637813,-0.04770299,-0.039890725,0.10613026,-0.14828329,-0.17784879,-0.0059772665,0.09841367,-0.14051847,0.03581915,-0.050206084,-0.123540275,0.10289979,0.03633172,-0.058959458,-0.0755062,-0.054083064,0.063692465,-0.0035968681,0.13920268,-0.11275185,0.0016430428,0.017770892,-0.14701478,-0.10230344,-0.08821803,0.049947746,0.06339316,0.09363709,0.038908947,-0.24664158,-0.19404358,-0.2213434,0.17144167,0.11521289,-0.07969064,-0.093793795,-0.34858057,-0.045293394,0.1500624,-0.1256253,-0.050277423,-0.14128877,-0.08974474,0.1437446,0.021376422,0.19950736
15,0.022705054,-0.04037423,0.09290661,-0.04657197,-0.019798417,0.1839041,-0.10542883,0.09731226,-0.21165833,0.17355998,-0.23184918,-0.07768815,0.0359783,-0.06462496,-0.21943629,-0.03828361,-0.15923664,0.36124542,-0.020526024,-0.023545051,0.10715565,-0.14582488,-0.18018828,-0.0073025916,0.05275461,-0.1510429,0.03629034,-0.056228843,-0.12254996,0.112301126,0.041849952,-0.06217752,-0.033024658,-0.030203132,0.07451686,-0.036586735,0.15827157,-0.15140685,-0.010384431,0.023585279,-0.16232821,-0.116653696,-0.04224357,0.054605894,0.052030277,0.08657555,0.0336918,-0.2675869,-0.23118733,-0.23693241,0.14826612,0.15037997,-0.059762217,-0.08506662,-0.32184574,-0.02748914,0.14319967,-0.08996882,-0.028860645,-0.1361714,-0.09329642,0.15499164,-0.0066296835,0.20440179
